0_uidnftn;1_Название;0_label;0_address;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Линия;1_Статус;Вестибюль;1_Время отправления первого и последнего поездов по четным дням;1_Время отправления первого и последнего поездов в нечетные дни;1_Количество БПА (Билетопечатающих автоматов);1_Эскалаторы. Плановая дата замены/ремонта;1_Эскалаторы. Тип до и после ремонта;1_Эскалаторы. Высота подъема. (м);1_Эскалаторы. Количество до и после замены;0_moddate;0_moduser;1_Тип БПА (Билетопечатающего автомата)
1480;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71653136;55,75182696;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1481;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71624212;55,75165313;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1482;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71670679;55,75200079;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1483;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71646501;55,75122793;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1484;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71704343;55,75235914;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1485;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71744521;55,75199246;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1486;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71747028;55,75086692;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1487;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71778323;55,75093913;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1488;Авиамоторная                                                                                                                                                                                                                                                  ;Авиамоторная                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;37,71677087;55,75095917;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Калининская                                       ;Действующая         ;Авиамоторная                                      ;"в четные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-59-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                     ";"в нечетные дни открытие: 5-40. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 5-46-00. по второму пути: 5-51-00; последний поезд по первому пути: 1-05-00. по второму пути: 1-53-00                                                   ";6;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1489;Автозаводская                                                                                                                                                                                                                                                 ;Автозаводская                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;37,6571665;55,70630611;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Замоскворецкая                                    ;Действующая         ;Автозаводская;"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-40-25. по второму пути: 5-45-15; последний поезд по первому пути: 1-24-00. по второму пути: 1-34-00                                                     ";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40; 1й поезд по 1му пути: 5-40-25. по второму пути: 5-45-15; последний поезд по первому пути: 1-25-00. по второму пути: 1-34-00                                                   ";3;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1490;Автозаводская                                                                                                                                                                                                                                                 ;Автозаводская                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;37,65732061;55,70865724;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Замоскворецкая                                    ;Действующая         ;Автозаводская;в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                  ;в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                ;0;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
1491;Автозаводская                                                                                                                                                                                                                                                 ;Автозаводская                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;37,65812781;55,70846604;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Замоскворецкая                                    ;Действующая         ;Автозаводская;в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                  ;в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 1-40                                                                                                                                                                                ;0;Замена или длительный ремонт не запланированы                                                       ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;Замена или длительный ремонт не запланированы                                                                                                                                                           ;12:00:00 AM;                                                                                                    ;"0 полнофункциональные (все типы билетов); 0 малофункциональные (билеты на 1 и 2 поездки)                                                                                                                "
