"0_UID";"1_Название объекта";"1_Адрес";"0_Координата X";"0_Координата Y";"1_Наименование парка";"1_Имя WiFi сети";"1_Зона покрытия (метры)";"1_Условия доступа"
1;"Wi-Fi точка №1";"Сокольнический Вал, дом 1, строение 1";11259,9585;14013,6249;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
2;"Wi-Fi точка №2";"Сокольнический Вал, дом 1, строение 1";11242,3637;14058,075;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
3;"Wi-Fi точка №3";"Сокольнический Вал, дом 1, строение 1";11229,3991;14102,5251;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
4;"Wi-Fi точка №4";"Сокольнический Вал, дом 1, строение 1";11306,2607;14181,2388;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
5;"Wi-Fi точка №5";"Сокольнический Вал, дом 1, строение 1";11129,3864;14118,2678;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Сокольники""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
11;"Wi-Fi очка №1";"Народный проспект, дом 17";15837,127;11520,3189;"Государственное учреждение культуры города Москвы ""Измайловский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
12;"Wi-FI nочка №2";"Народный проспект, дом 17";15851,4146;11521,6418;"Государственное учреждение культуры города Москвы ""Измайловский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
14;"Wi-Fi точка №4";"Народный проспект, дом 17";15746,2425;12213,6609;"Государственное учреждение культуры города Москвы ""Измайловский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
15;"Wi-Fi точка №5";"Народный проспект, дом 17";15678,7736;12177,5452;"Государственное учреждение культуры города Москвы ""Измайловский парк культуры и отдыха""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
16;"Wi-Fi точка №1";"Большая Филевская улица, дом 22";-706,9049;8766,2655;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха Фили""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
18;"WI-Fi точка №2";"Большая Филевская улица, дом 22";-635,4673;8816,5364;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха Фили""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
21;"W-Fi точка №1";"Каретный Ряд улица, дом 3, строение 7";7045,0053;11582,0331;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
22;"Wi-Fi точка №2";"Каретный Ряд улица, дом 3, строение 7";7058,7637;11548,1663;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
23;"Wi-Fi точка №3";"Каретный Ряд улица, дом 3, строение 7";6910,0676;11541,2872;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
24;"Wi-Fi точка №5";"Каретный Ряд улица, дом 3, строение 7";6932,8218;11482,5495;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
25;"Wi-Fi точка №6";"Каретный Ряд улица, дом 3, строение 7";6936,526;11449,7411;"Государственное учреждение культуры города Москвы ""Московский городской сад ""Эрмитаж""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
26;"W-Fi точка №4";"Мантулинская улица, дом 5, строение 2";6924,3551;11511,6538;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
27;"Wi-Fi точка №2";"Мантулинская улица, дом 5, строение 2";3120,4329;9749,9883;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
28;"Wi-Fi точка №3";"Мантулинская улица, дом 5, строение 2";3203,7768;9743,3737;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
29;"Wi-Fi точка №4";"Мантулинская улица, дом 5, строение 2";3224,9435;9698,3944;"Государственное учреждение культуры города Москвы ""Парк культуры и отдыха ""Красная Пресня""";"Moscow_Wi-Fi_Free";20;"открытая сеть"
